target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'endgame', 'fork', 'master', 'short']",1167.0,8/p7/P1q2pk1/2Ppnpp1/8/2P2PP1/2QN1KP1/8 b - - 2 37,True,False,False,,,
"['mate', 'mateIn2', 'middlegame', 'short']",1219.0,Nnbk3r/pp3ppp/2p5/2b1p3/2P1P3/5P2/PB2NnPP/R3KBR1 b Q - 1 11,True,True,False,"['opening', 'advantage', 'fork', 'short']",1068.618896484375,False
"['crushing', 'endgame', 'master', 'short']",1475.0,8/5p2/1p2nPk1/4K3/B1b5/5N2/7P/8 w - - 1 48,True,False,False,,,
"['endgame', 'fork', 'mate', 'mateIn2', 'short']",1386.0,1k6/1p2R1pp/pKP5/5r2/1P3P2/PB4q1/8/8 b - - 0 44,True,False,False,,,
"['advancedPawn', 'advantage', 'endgame', 'hangingPiece', 'promotion', 'veryLong']",2224.0,8/8/8/1p5P/2p1nK2/k1P5/8/8 w - - 0 58,True,False,False,,,
"['endgame', 'hangingPiece', 'mate', 'mateIn2', 'short']",781.0,2r3k1/1P5p/P4pp1/4q3/1Q6/5P1P/4nK2/1R2R3 b - - 0 39,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'long', 'pawnEndgame', 'quietMove', 'sacrifice']",757.0,8/2p3p1/1p6/pPp2P1p/P1PkP3/4p2P/4K3/8 w - - 2 39,True,False,True,,,
"['advantage', 'endgame', 'long', 'master']",2454.0,4r1k1/Q4pp1/1P3np1/8/8/2P5/5PPP/3r1BK1 b - - 0 34,True,False,False,,,
"['attackingF2F7', 'crushing', 'fork', 'middlegame', 'short']",1686.0,r3k2r/pp3pp1/1bpp4/8/1P1Pn3/PQP3Pq/1B2K2P/3K1R1R w kq - 0 22,False,False,,,,
"['advantage', 'hangingPiece', 'master', 'opening', 'short']",1919.0,r1bq1rk1/1p3ppB/p1n1pb2/8/3P3P/5NR1/PP3PP1/R1BQK3 b Q - 0 12,True,False,False,,,
"['crushing', 'endgame', 'short']",1638.0,4R3/ppp4B/3p2P1/2PP2k1/2P2nrp/5K2/P7/8 b - - 5 39,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",1271.0,8/8/4Nk2/5p2/R1B4K/2b1P1P1/5r2/4n3 b - - 0 48,True,False,False,,,
"['advantage', 'long', 'middlegame']",1670.0,r1b5/p1pqbkr1/1p1ppn2/8/3P4/2NBP2Q/PPP2PPP/R3K2R b KQ - 0 15,True,False,False,,,
"['advantage', 'middlegame', 'short']",1831.0,r1bk2nr/1pR3p1/p2P1pq1/2p1n2p/P7/1BN2QP1/1P3P1P/R5K1 w - - 2 22,True,False,False,,,
"['advantage', 'defensiveMove', 'long', 'middlegame']",2019.0,2bk1b1r/1p5p/6p1/r7/p2Bn3/P7/1P3PPP/2R1KB1R w K - 2 17,True,False,False,,,
"['crushing', 'endgame', 'master', 'masterVsMaster', 'short']",1786.0,6k1/pp3pp1/7p/4r3/2R5/PQ4P1/1P3PKP/8 b - - 1 28,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'pawnEndgame', 'veryLong']",1365.0,6K1/7p/8/5kP1/8/8/8/8 b - - 4 62,True,False,False,,,
"['advantage', 'defensiveMove', 'middlegame', 'veryLong']",2791.0,5r1k/pb6/1r1p1qpp/4pp2/2Q4N/2PB2R1/2P2PPP/4R1K1 b - - 1 24,True,False,False,,,
"['endgame', 'exposedKing', 'long', 'mate', 'mateIn3', 'sacrifice']",2001.0,4r3/pp5p/2kN2p1/5b2/2P3n1/1P1p1K2/P2P1PPP/R4R2 b - - 2 23,True,False,False,,,
