target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'long', 'middlegame']",2279.0,r3k2r/p1p1bppp/2N2qb1/3p4/3Qn3/8/PPP1QPPP/RNB1R1K1 w kq - 1 12,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",573.0,8/2R5/1p6/p2b2p1/2n3Pk/2P4P/5P1K/3r4 w - - 0 37,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",600.4899291992188,True
"['crushing', 'long', 'middlegame', 'quietMove']",1455.0,1k1r4/pP3b1p/1b1r2p1/3p1p2/3B1P2/1P3B2/PBR4P/1K3R2 w - - 9 28,True,False,False,,,
"['advantage', 'deflection', 'discoveredAttack', 'long', 'middlegame']",1723.0,4rqr1/pb4bk/1p3pRp/2p1pPpQ/2P1P3/3B2R1/P5PP/4B2K w - - 5 27,True,False,False,,,
"['attraction', 'crushing', 'middlegame', 'queensideAttack', 'quietMove', 'veryLong']",2703.0,k3r2r/pb1R3p/np2p1p1/4P3/Q1P2q2/PN6/1P6/1K1R4 w - - 3 32,True,False,True,,,
"['advantage', 'endgame', 'fork', 'master', 'short']",1438.0,5k2/2Q4p/1p4p1/p2r2q1/1b1Np3/4PP1P/6P1/6K1 w - - 0 37,True,False,False,,,
"['advantage', 'opening', 'short']",1875.0,r3k1nr/pp1b1ppp/1qn1p3/2bpN3/Q4B2/2P1P3/PP3PPP/RN2KB1R w KQkq - 3 9,True,False,False,,,
"['advantage', 'discoveredAttack', 'middlegame', 'short']",941.0,3qk2r/p1r2ppp/1p6/1b6/3bB3/6P1/PP2RP1P/R1BQ2K1 b k - 0 19,True,False,False,,,
"['blindSwineMate', 'endgame', 'mate', 'mateIn2', 'short']",953.0,6Q1/3kP3/6p1/4B3/5P1p/5P2/2r1r3/7K b - - 0 43,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1284.095703125,False
"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",946.0,rn2r2k/pp3ppp/2p5/8/1PB5/P3qb1P/6Q1/R4KR1 w - - 0 28,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",745.1722412109375,True
