target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'endgame', 'fork', 'short']",812.0,2r5/pk4b1/7p/4p3/3nN3/1P2R1P1/P4PK1/8 w - - 11 32,True,False,False,,,
"['crushing', 'endgame', 'fork', 'long']",1210.0,6k1/4b2p/p3p1n1/2p5/N1P2rp1/1P4K1/P2R2P1/B7 w - - 0 30,True,False,True,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove']",954.0,r1bqk3/1p1p3p/p1nPp1rB/6p1/2B2Qp1/2P5/P4PPP/R3R1K1 w q - 0 19,True,False,False,,,
"['advantage', 'endgame', 'fork', 'hangingPiece', 'short']",786.0,6k1/1p4p1/p1p1p3/8/6q1/2P3Q1/PPK1R2P/3r2R1 b - - 4 29,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",1705.0,2r5/5p1k/P2p4/3Np3/1P2P1p1/P2Q2P1/5q2/3K4 b - - 1 32,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'pawnEndgame', 'promotion', 'veryLong']",1233.0,8/3k4/4p3/ppp1PpPP/3p4/PP1P4/8/1K6 b - - 0 42,True,False,False,,,
"['crushing', 'endgame', 'fork', 'short']",875.0,8/3R4/8/8/2p5/2kn1K2/8/8 b - - 1 50,True,True,False,"['endgame', 'crushing', 'fork', 'short']",803.0758056640625,True
"['crushing', 'deflection', 'endgame', 'long', 'rookEndgame']",1042.0,1r5k/5PR1/6K1/8/8/8/8/8 b - - 0 69,True,True,False,"['endgame', 'advantage', 'deflection', 'rookEndgame', 'short']",1141.5225830078125,True
"['mate', 'mateIn2', 'middlegame', 'short']",1117.0,r1k5/ppp5/4RP2/3P4/7r/4BPn1/PP3K1q/R5Q1 b - - 0 28,False,False,,,,
"['advantage', 'kingsideAttack', 'long', 'middlegame']",2290.0,rn3rk1/pb2q1pp/1p1Np3/2p2p2/2PP2nN/P2BP3/1PQ2PPP/R4RK1 b - - 0 14,True,False,False,,,
"['advantage', 'middlegame', 'short']",2140.0,rn4k1/pp3qp1/6n1/2b3Q1/8/2BR4/5PPP/5RK1 w - - 2 25,True,False,True,,,
"['crushing', 'endgame', 'rookEndgame', 'veryLong']",2118.0,8/p6p/1p2pk2/3rRp1P/3P4/4KP2/PP6/8 w - - 0 35,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'short']",1643.0,5k2/6R1/3p1p1K/8/4P3/p6P/Pb6/8 b - - 2 49,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'long', 'zugzwang']",1770.0,6k1/8/5p2/6p1/3bK1P1/5P2/8/8 w - - 0 58,True,False,False,,,
"['advantage', 'middlegame', 'pin', 'short']",2274.0,r5k1/6qp/p5nQ/3N4/2pP4/5r2/1Pp5/2KK2RR w - - 0 33,False,False,,,,
"['crushing', 'fork', 'middlegame', 'short']",1392.0,5rk1/p4ppp/1q1N4/3bP3/P2Q4/1r6/6PP/2R2RK1 w - - 3 27,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",675.0,r3k3/1b1pbpQ1/p3p3/1p2N2q/3P2n1/2P5/1PB2PPP/1R3RK1 b q - 2 25,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",859.5303955078125,True
"['advantage', 'interference', 'middlegame', 'short']",1792.0,r3k2r/pp2np1p/1q3np1/1N1p1b2/2P5/8/PK1QBPPP/3R2NR w kq - 4 15,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",1128.0,6k1/pp4bp/4r3/3p1Q2/7r/1P6/P4P2/3R2K1 b - - 7 28,True,False,False,,,
"['advantage', 'fork', 'long', 'opening']",1436.0,r3kb1r/pp2qp1p/2n1bp2/1B6/8/5N2/PPP2PPP/R1BQK2R b KQkq - 4 11,True,False,False,,,
"['crushing', 'middlegame', 'pin', 'short']",795.0,1nkr4/pppb1p2/4q3/3pb3/6p1/2PB2P1/PPQN1PP1/2KR4 w - - 2 20,True,False,True,,,
"['advantage', 'fork', 'middlegame', 'short']",861.0,r3k2r/1b3ppp/p1n1p3/2Ppn3/B2Q1B2/6P1/P4P1P/R3K2R b KQkq - 3 19,True,True,False,"['middlegame', 'advantage', 'fork', 'short']",736.429931640625,True
"['advantage', 'fork', 'middlegame', 'short']",754.0,r1b2rk1/1p1q1p1p/p1npp1p1/2pN4/2P5/1P2P3/P2PBPPP/2RQK2R w K - 0 13,True,False,False,,,
"['crushing', 'master', 'middlegame', 'pin', 'short']",1548.0,8/1p2pp1k/p3brnp/4q3/4B2Q/1P3P1N/P6P/6RK w - - 1 30,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'knightEndgame', 'short']",740.0,8/p4p1n/5p2/Ppp1kPKP/8/8/5N2/8 w - - 0 48,True,False,False,,,
"['crushing', 'middlegame', 'queensideAttack', 'short']",1611.0,2r2rk1/pp3pbp/4p1p1/3n2P1/1n6/P2B1NBP/1PP2P2/1K1R3R b - - 0 22,True,False,False,,,
"['crushing', 'endgame', 'long']",1426.0,5k2/6b1/p2p2Q1/1p6/2pn2N1/P1N2q1P/1PP3P1/7K b - - 5 28,True,False,False,,,
"['backRankMate', 'endgame', 'mate', 'mateIn2', 'sacrifice', 'short']",730.0,3r2k1/p2q2pp/5p2/8/4PB2/Pb6/1P3PPQ/1R4K1 b - - 6 25,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",649.0,8/2p3p1/N1n3k1/P3p3/2P4R/5r1P/2r5/KR6 b - - 2 48,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",881.7334594726562,True
"['crushing', 'defensiveMove', 'middlegame', 'short']",2360.0,7r/1bk1b1p1/p2qp1Np/1p1p4/2pP4/2P1P3/PP1KB1P1/R2Q1r2 w - - 0 24,True,False,False,,,
"['advantage', 'endgame', 'master', 'short']",1401.0,R7/2r3kp/3p4/3B3r/p1P1R2P/1b4K1/8/8 w - - 5 40,True,False,False,,,
"['advantage', 'defensiveMove', 'middlegame', 'sacrifice', 'short']",2649.0,r3k2r/p1R2ppp/5q2/3P4/Q5n1/P3Pb1K/6PP/2B2B1R b kq - 2 17,True,False,False,,,
"['crushing', 'endgame', 'long']",1516.0,8/p1q5/6k1/2p2Nr1/2P1Pb1p/3P4/PQ4p1/3R2K1 b - - 2 42,True,False,False,,,
"['attraction', 'crushing', 'endgame', 'exposedKing', 'fork', 'long', 'sacrifice']",1336.0,7k/4q3/1p6/p2Rp1N1/7P/8/5PPK/8 w - - 3 46,True,False,False,,,
"['advantage', 'long', 'middlegame', 'sacrifice']",1788.0,3b4/2p2pk1/1qBp4/1P2r1pr/4PP2/2P3P1/1Q4K1/R6R b - - 0 32,True,False,False,,,
"['advantage', 'defensiveMove', 'endgame', 'short']",2578.0,8/3r4/PP1b3R/1K2k1p1/8/3B4/2P4p/8 b - - 0 35,True,False,True,,,
"['crushing', 'defensiveMove', 'endgame', 'long']",2336.0,7R/8/8/1p1p4/2b2k1K/2P2P2/7p/8 b - - 1 51,True,False,False,,,
"['mate', 'mateIn1', 'middlegame', 'oneMove', 'smotheredMate']",1168.0,r3k2r/p3ppbp/2p3p1/3nP3/N7/n7/PP1BQ1PP/KR3B1R b kq - 0 18,True,True,False,"['middlegame', 'mateIn1', 'mate', 'smotheredMate', 'oneMove']",927.254150390625,True
"['advantage', 'attraction', 'fork', 'long', 'middlegame', 'sacrifice']",2145.0,b4r2/3n4/p2p2Qp/P1pPk1p1/2q1Pp2/5P2/1R5P/R3N2K b - - 3 36,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",983.6458740234375,False
"['crushing', 'endgame', 'interference', 'intermezzo', 'veryLong']",2692.0,4Q3/2q2ppk/7p/1R2N3/6b1/8/P1r2PKP/8 b - - 0 30,True,False,False,,,
"['advantage', 'intermezzo', 'kingsideAttack', 'master', 'middlegame', 'short']",1975.0,r2qr1k1/p3bp2/1p2pn1Q/6B1/1n1Pb3/8/PP3PPP/1BRR2K1 w - - 0 21,True,False,False,,,
"['advantage', 'fork', 'long', 'middlegame', 'sacrifice']",1770.0,2k2r2/4q2k/p2pp1pp/1p2b1n1/2p1P1Q1/P1P3P1/1P4KP/R1B2R2 b - - 2 21,False,False,,,,
