target_themes,target_rating,fen,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match
"['crushing', 'discoveredAttack', 'master', 'middlegame', 'short']",48.0,2rr4/1Qq2pkp/6p1/p2BP3/1p4P1/5N1P/P4P2/2R3K1 b - - 2 33,True,False,False,,,
"['endgame', 'master', 'mate', 'mateIn1', 'oneMove']",-16.0,2k5/2r5/K1PRp1p1/p3ppPp/7P/n4P2/8/3R4 w - - 3 47,True,False,False,,,
"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'veryLong']",66.0,8/8/5KPk/5r1p/8/8/8/8 w - - 0 56,True,False,False,,,
"['advantage', 'middlegame', 'pin', 'short']",12.0,r1q1R1k1/p1p2ppp/8/8/Q2P4/1K3b2/PP1N1PPP/R1B4K b - - 0 21,False,False,,,,
"['crushing', 'deflection', 'endgame', 'exposedKing', 'veryLong']",-104.0,2k5/p3n1rN/1pp1p1r1/3pP2p/3R1P2/P5P1/5P2/3R2K1 w - - 3 26,True,False,False,,,
"['crushing', 'endgame', 'short']",-91.0,6k1/1pr1rq1p/p1pp2pP/6Q1/2P3R1/5P2/KP3P2/6R1 w - - 0 30,True,False,False,,,
"['endgame', 'mate', 'mateIn2', 'short']",-103.0,6k1/pb2r1pp/1p4P1/2r1pP2/2P1n3/1P6/P2R4/3R2K1 w - - 0 32,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",574.8419189453125,True
"['crushing', 'endgame', 'long', 'rookEndgame', 'skewer']",57.0,1k1r3r/pp3pp1/8/2p1p3/3RP2p/1P5P/P4PP1/3R2K1 w - - 0 26,True,True,False,"['endgame', 'crushing', 'rookEndgame', 'queensideAttack', 'short']",273.7086181640625,True
"['advantage', 'middlegame', 'short']",-40.0,1k2q3/1p5p/p1nR4/2Q5/4b1p1/2P3P1/PP4BP/4R2K b - - 1 26,True,False,False,,,
"['advantage', 'fork', 'long', 'middlegame']",-21.0,3r2k1/1p1q2pp/1bp2p2/1nP1pP2/1P6/3R3P/P4PP1/3R1NK1 w - - 1 23,True,False,False,,,
"['crushing', 'defensiveMove', 'endgame', 'quietMove', 'veryLong']",-88.0,8/8/2K4p/7k/7Q/8/8/8 b - - 19 71,True,False,False,,,
"['advancedPawn', 'crushing', 'endgame', 'long', 'queensideAttack']",-45.0,2k5/pqb3p1/1p1r2p1/6Pn/7P/7K/PPQ2P2/2R5 w - - 7 31,True,False,False,,,
"['endgame', 'mate', 'mateIn1', 'oneMove']",-35.0,7k/q5p1/5Rp1/1p1p1p2/1Pr5/6P1/1Q4PK/8 w - - 1 40,True,False,False,,,
"['advantage', 'fork', 'master', 'masterVsMaster', 'middlegame', 'short']",-123.0,3r2k1/1p4pp/4bp2/p1q1n3/Pp2p3/1P2P3/1BPR2PP/1N1Q2K1 w - - 0 23,True,False,False,,,
"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",19.0,r1b1r1k1/pp3ppp/1n1p4/1Q1p1q2/3P4/2P2PP1/PP3KBP/2KR4 w - - 0 24,False,False,,,,
"['long', 'mate', 'mateIn3', 'middlegame']",48.0,2r3k1/5ppp/2Rppn2/6N1/q3P3/3r4/bB3PPP/7R w - - 0 28,False,False,,,,
"['crushing', 'endgame', 'long']",0.0,1kr5/ppq2p2/4b3/4p3/4P1P1/P2PQ2B/1P3PPp/2R4K b - - 3 28,True,True,False,"['endgame', 'advantage', 'short']",1037.63720703125,False
"['endgame', 'master', 'mate', 'mateIn1', 'oneMove']",-121.0,4r1k1/6q1/p4r2/4n1Q1/2p3R1/2P2PK1/PP6/8 w - - 0 42,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",872.9921875,True
"['mate', 'mateIn1', 'middlegame', 'oneMove']",-104.0,3r3k/1p3pp1/1b2p2p/4P2b/5B2/2P5/R3NPBP/3R1K2 b - - 0 35,True,True,False,"['middlegame', 'mateIn1', 'mate', 'hangingPiece', 'oneMove']",603.5263671875,True
